dex,name,category,generation,type_1,hp,attack,defense,sp_atk,sp_def,speed,height_m,weight_kgs,bmi,outlier_count,PC1,PC2,PC3,PC4,PC5,cluster
1,Bulbasaur,Regular,Gen 1,Grass,45,49,49,65,65,45,0.7,6.9,14.1,0,-1.8181222087153166,-0.32090893529985653,-0.04964575917988179,-0.8752460253434903,0.2992047624995454,3
2,Ivysaur,Regular,Gen 1,Grass,60,62,63,80,80,60,1,13,13,0,-0.6893895313242898,-0.5772332409023654,-0.3706994374323539,-0.7406517166855159,0.14977145262181157,1
3,Venusaur,Regular,Gen 1,Grass,80,82,83,100,100,80,2,100,25,0,1.2919382535823765,-0.5088403879722188,-0.4908463494452867,-0.5127176403552173,0.3116791017613968,1
3,VenusaurMega Venusaur,Regular,Gen 1,Grass,80,100,123,122,120,80,2.4,155.5,27,0,2.7634084237063665,-0.15152094576932346,-1.2141667485680847,-0.7503263476634227,-0.1318996277804467,1
4,Charmander,Regular,Gen 1,Fire,39,52,43,60,50,65,0.6,8.5,23.6,0,-2.0788983404427057,-0.5391333143271291,0.23187432470900915,-0.10001830696609713,0.3783402480172928,3
5,Charmeleon,Regular,Gen 1,Fire,58,64,58,80,65,80,1.1,19,15.7,0,-0.7555338846334047,-0.9060157506286828,-6.440274828669601e-4,-0.11911531377917187,0.2902703622527024,3
6,Charizard,Regular,Gen 1,Fire,78,84,78,109,85,100,1.7,90.5,31.3,0,1.1398785667603333,-0.9261800792101872,-0.39967993371094485,0.2221374041403514,0.48748400554290927,1
6,CharizardMega Charizard Y,Regular,Gen 1,Fire,78,104,78,159,115,100,1.7,100.5,34.8,0,2.3146632615202436,-1.428744694824297,-1.4208365751969163,0.1198892531126403,0.9272349422736695,1
6,CharizardMega Charizard X,Regular,Gen 1,Fire,78,130,111,130,85,100,1.7,110.5,38.2,0,2.3561901922208417,-0.639324742932228,-0.6562238113607968,0.7263517246143226,-0.38917740559955116,1
7,Squirtle,Regular,Gen 1,Water,44,48,65,50,64,43,0.5,9,36,0,-1.9075067791157316,0.3436823102739945,-0.26179187297624373,-0.6592865642401181,-0.033080536354828424,3
8,Wartortle,Regular,Gen 1,Water,59,63,80,65,80,58,1,22.5,22.5,0,-0.6371873166504184,-0.04745946974928325,-0.4429274738113153,-0.6988438286534896,-0.27361144209847454,1
9,Blastoise,Regular,Gen 1,Water,79,83,100,85,105,78,1.6,85.5,33.4,0,1.2066287321092581,-0.06832579831866788,-0.8565914609325053,-0.4468061830607243,-0.2594073254104299,1
9,BlastoiseMega Blastoise,Regular,Gen 1,Water,79,103,120,135,115,78,1.6,101.1,39.5,0,2.3727984113506633,-0.2636889188365377,-1.653936904148728,-0.39049740112692793,-0.13866809029627783,1
10,Caterpie,Regular,Gen 1,Bug,45,30,35,20,20,45,0.3,2.9,32.2,0,-3.410054202988133,0.30272663000207334,1.1651267830983008,-0.2249009358395125,0.2744605827848599,3
11,Metapod,Regular,Gen 1,Bug,50,20,55,25,25,30,0.7,9.9,20.2,0,-3.053253553145391,0.5968884944488723,1.0217894628050619,-1.0320527841237181,0.11764650246743016,3
12,Butterfree,Regular,Gen 1,Bug,60,45,50,90,80,70,1.1,32,26.4,0,-0.7870381507579882,-0.7666976266317386,-0.4638169475539979,-0.5916655082690374,0.9595554907311117,3
13,Weedle,Regular,Gen 1,Bug,40,35,30,20,20,50,0.3,3.2,35.6,0,-3.4505501974310198,0.19498771038960933,1.1754806053794629,0.008147572644082071,0.32230797951552764,3
