dex,name,category,generation,type_1,hp,attack,defense,sp_atk,sp_def,speed,height_m,weight_kgs,bmi,outlier_count,PC1,PC2,PC3,PC4,PC5,cluster
3,Venusaur,Regular,Gen 1,Grass,80,82,83,100,100,80,2,100,25,0,-0.02034606542049837,-0.2990355679280601,0.8543382316862873,-0.19981844121745468,0.15114676217433531,4
3,VenusaurMega Venusaur,Regular,Gen 1,Grass,80,100,123,122,120,80,2.4,155.5,27,0,1.307414682811388,-0.18196910962425922,1.7611641236431592,0.39782686892333463,-0.6234660713706657,4
6,Charizard,Regular,Gen 1,Fire,78,84,78,109,85,100,1.7,90.5,31.3,0,-0.3684050355942436,-0.7305430773852559,0.36172727270009425,0.3469503898053249,0.3882369736511945,1
6,CharizardMega Charizard Y,Regular,Gen 1,Fire,78,104,78,159,115,100,1.7,100.5,34.8,0,0.34785209424858676,-1.4741269505487964,1.6165201838055896,1.0292519643160636,0.47693756160128337,4
6,CharizardMega Charizard X,Regular,Gen 1,Fire,78,130,111,130,85,100,1.7,110.5,38.2,0,0.779782990629978,-0.762924519159043,0.20689919737041376,1.1479369571850235,-0.6394980441028234,4
9,Blastoise,Regular,Gen 1,Water,79,83,100,85,105,78,1.6,85.5,33.4,0,0.04543798607331828,0.41675416741820986,0.8995224062632493,-0.0017129744511929605,-0.17883879221548446,4
9,BlastoiseMega Blastoise,Regular,Gen 1,Water,79,103,120,135,115,78,1.6,101.1,39.5,0,0.9029251046236049,-0.05887967761487278,1.704289741904254,0.7139511939088277,-0.3407759808461745,4
12,Butterfree,Regular,Gen 1,Bug,60,45,50,90,80,70,1.1,32,26.4,0,-1.9134725250625793,0.056503435866790144,0.6415630345639429,-0.5749376184770786,0.931916844704559,1
15,BeedrillMega Beedrill,Regular,Gen 1,Bug,65,150,40,15,80,145,1.4,40.5,20.7,0,-1.29777766751871,-1.0695960801999134,-2.3037863831990313,1.1741724168874041,-1.2780838849292704,1
15,Beedrill,Regular,Gen 1,Bug,65,90,40,45,80,75,1,29.5,29.5,0,-1.6814148221258316,0.2668236983754897,-0.7627894552507524,-0.4170320582896034,0.10646185532611174,1
18,PidgeotMega Pidgeot,Regular,Gen 1,Normal,83,80,80,135,80,121,2.2,50.5,10.4,0,-0.4208702058286349,-1.8803511854347883,0.6244086200069092,0.34476935000831077,0.35904871044656567,1
18,Pidgeot,Regular,Gen 1,Normal,83,80,75,70,70,101,1.5,39.5,17.6,0,-0.9752586670589537,-0.39841477397687974,-0.5321057031264249,-0.2918313215724009,0.04666354044591492,1
20,Raticate,Regular,Gen 1,Normal,55,81,60,50,70,97,0.7,18.5,37.8,0,-1.936991637381207,0.35929798763173787,-0.7574116471925165,0.3793662971459949,-0.06111420173873741,1
20,RaticateAlolan Raticate,Regular,Gen 1,Dark,75,71,70,40,80,77,0.7,25.5,52,0,-1.3500228674144192,1.1733052707049427,-0.5322006072181081,-0.20818163543430995,0.4030814051563275,1
22,Fearow,Regular,Gen 1,Normal,65,90,65,61,61,100,1.2,38,26.4,0,-1.462255142681346,-0.18646882478280974,-1.0176636451705272,0.13206192196374597,-0.1822282926469416,1
24,Arbok,Regular,Gen 1,Poison,60,95,69,65,79,80,3.5,65,5.3,0,-0.4361430782947558,-0.63801558988602,-0.21111208365939907,-0.7017009768001516,-0.8782151760906678,1
25,Pikachu,Regular,Gen 1,Electric,35,55,40,50,50,90,0.4,6,37.5,0,-3.110388849078112,0.4751875831431584,-0.920205039764703,0.1989412625243475,0.3986589396296979,1
25,PikachuPartner Pikachu,Regular,Gen 1,Electric,45,80,50,75,60,120,0.4,6,37.5,0,-2.4772146376167568,-0.4525027332175063,-0.7935468674118535,1.0967070515276147,0.191133940737104,1
26,RaichuAlolan Raichu,Regular,Gen 1,Electric,60,85,50,95,85,110,0.7,21,42.9,0,-1.6613237970733497,-0.6180319909002057,0.027616561039362872,0.9575420686920088,0.567739488736608,1
26,Raichu,Regular,Gen 1,Electric,60,90,55,90,80,110,0.8,30,46.9,0,-1.5099551846152672,-0.4830109259103816,-0.24133309289259547,1.0204771446060192,0.43078503311378935,1
28,Sandslash,Regular,Gen 1,Ground,75,100,110,45,55,65,1,29.5,29.5,0,-0.6273591367205339,1.2464326818614162,-1.1397408747942361,-0.5055567622121612,-1.0223374302637145,1
28,SandslashAlolan Sandslash,Regular,Gen 1,Ice,75,100,120,25,65,65,1.2,55,38.2,0,-0.28661782957804055,1.787852132944351,-1.088742884312766,-0.39449754386941865,-1.2408739118095884,4
31,Nidoqueen,Regular,Gen 1,Poison,90,92,87,75,85,76,1.3,60,35.5,0,-0.212181526366884,0.35157591894774176,-0.1422488685424359,-0.3334426966995135,0.07309197152952118,4
34,Nidoking,Regular,Gen 1,Poison,81,102,77,85,75,85,1.4,62,31.6,0,-0.44318348887681913,-0.20966131800746018,-0.4651164059564583,-0.023864833476584198,-0.037750737444926546,1
36,Clefable,Regular,Gen 1,Fairy,95,70,73,95,90,60,1.3,40,23.7,0,-0.5103330903212842,0.08627350960947727,0.5742421204675132,-1.0668303541075081,0.7258389449277496,4
38,Ninetales,Regular,Gen 1,Fire,73,76,75,81,100,100,1.1,19.9,16.4,0,-1.1173807639270728,-0.3208611769504467,0.6629907479343949,0.09659871874264275,-0.05578449870912078,1
38,NinetalesAlolan Ninetales,Regular,Gen 1,Ice,73,67,75,81,100,109,1.1,19.9,16.4,0,-1.2568829266488781,-0.4205015803296306,0.7481899599095424,0.20406693136896809,0.09784138125675157,1
40,Wigglytuff,Regular,Gen 1,Normal,140,70,45,85,50,45,1,12,12,0,-0.6777148302277496,-0.325162158134241,-1.2261517269488058,-2.7530397234351693,1.8321879611974892,4
45,Vileplume,Regular,Gen 1,Grass,75,80,85,110,90,50,1.2,18.6,12.9,0,-0.6470642153462439,0.1143040626604927,1.015335901434991,-0.845513847196639,-0.06329917907850685,4
47,Parasect,Regular,Gen 1,Bug,60,95,80,60,80,30,1,29.5,29.5,0,-0.928565108915258,1.3727311147956667,-0.06419129628289169,-0.9239127965334968,-0.6375482091116079,4
49,Venomoth,Regular,Gen 1,Bug,70,65,60,90,75,90,1.5,12.5,5.6,0,-1.5616608036253543,-0.7186542085854326,0.2205602431736196,-0.5517365673146931,0.2639785321792729,1
51,Dugtrio,Regular,Gen 1,Ground,35,100,50,50,70,120,0.7,33.3,68,0,-2.0758792606600323,0.22883070597081048,-1.179927913637165,1.7964771060632203,-0.09366485555408388,1
51,DugtrioAlolan Dugtrio,Regular,Gen 1,Ground,35,100,60,50,70,110,0.7,66.6,135.9,1,-1.4111891880798262,1.483183067954201,-1.3857436459019072,2.698613413566778,0.7870609806722053,1
53,PersianAlolan Persian,Regular,Gen 1,Dark,65,60,60,75,65,115,1.1,33,27.3,0,-1.889492125773595,-0.49483825687516714,-0.39817369358943555,0.2852002945082127,0.5355285026337011,1
53,Persian,Regular,Gen 1,Normal,65,70,60,65,65,115,1,32,32,0,-1.8286830433349441,-0.31850966506022915,-0.6972608048676711,0.40258661695850206,0.3584159297198516,1
55,Golduck,Regular,Gen 1,Water,80,82,78,95,80,85,1.7,76.6,26.5,0,-0.46521955344286037,-0.34333743497825947,0.1366787196965435,-0.20594022207733803,0.2565384825291366,1
59,ArcanineHisuian Arcanine,Regular,Gen 1,Fire,95,115,80,95,80,90,2,168,42,0,0.6868215794177118,-0.517872103032911,-0.5958410226823342,0.18106786209459652,0.26130917741128323,4
59,Arcanine,Regular,Gen 1,Fire,90,110,80,100,80,95,1.9,155,42.9,0,0.4676090772618659,-0.5889139509658574,-0.4339680034105743,0.3791478837370949,0.3040239121501015,1
62,Poliwrath,Regular,Gen 1,Water,90,95,95,70,90,70,1.3,54,32,0,-0.06810744898136589,0.5861505157585919,0.005601905306164796,-0.44970843346840517,-0.22940984641560197,4
65,Alakazam,Regular,Gen 1,Psychic,55,50,45,135,95,120,1.5,48,21.3,0,-1.7588498905198173,-1.6741785630106234,1.412932928479599,0.7644271120107189,1.1257074636065587,1
65,AlakazamMega Alakazam,Regular,Gen 1,Psychic,55,50,65,175,105,150,1.2,48,33.3,0,-1.4201181306278294,-2.2447246436935333,2.2027162405175242,1.9963162681851587,1.3131949989728726,1
68,Machamp,Regular,Gen 1,Fighting,90,130,80,65,85,55,1.6,130,50.8,0,0.6135914445421474,0.6856686254895074,-0.8799287408720319,-0.28995229431552905,-0.2456180859093845,4
71,Victreebel,Regular,Gen 1,Grass,80,105,65,100,70,70,1.7,15.5,5.4,0,-0.7139844363595518,-0.8119170776024152,-0.31215380014944594,-0.780335241398366,-0.23274709379681857,1
71,VictreebelMega Victreebel,Regular,Gen 1,Grass,80,125,85,135,95,70,4.5,125.5,6.2,0,1.462808110833603,-1.7445680308804181,0.749758954886558,-0.5547651674698202,-0.7161203322523092,2
73,Tentacruel,Regular,Gen 1,Water,80,70,65,80,120,100,1.6,55,21.5,0,-0.7190451825192858,-0.43669362978669996,1.147995858607318,-0.006066344570229393,0.37143823151902366,4
76,GolemAlolan Golem,Regular,Gen 1,Rock,80,120,130,55,65,45,1.7,316,109.3,0,1.8746674393275455,2.5932426564562934,-1.321919968110122,0.7096923936611682,-0.07093779563188751,3
76,Golem,Regular,Gen 1,Rock,80,120,130,55,65,45,1.4,300,153.1,1,1.9513671327281763,3.2641551814778307,-1.516768064042782,1.4122532992286807,0.5860655268649819,3
78,RapidashGalarian Rapidash,Regular,Gen 1,Psychic,65,100,70,80,80,105,1.7,80,27.7,0,-0.7492883648126647,-0.5915822772595757,-0.34983555504903074,0.5267028713947967,-0.27958314131985085,1
78,Rapidash,Regular,Gen 1,Fire,65,100,70,80,80,105,1.7,95,32.9,0,-0.6658478949412646,-0.5167169101896953,-0.38314145649918274,0.6183543970024112,-0.18425279969799307,1
80,SlowbroGalarian Slowbro,Regular,Gen 1,Poison,95,100,95,100,70,30,1.6,70.5,27.5,0,0.3413199453772551,0.5904247824012142,-0.09248535777419967,-1.3663340415832026,-0.001540702587944684,4
80,SlowbroMega Slowbro,Regular,Gen 1,Water,95,75,180,130,80,30,2,120,30,0,1.7153781297590713,1.4633017039100795,1.5875502652244107,-0.9216881209257565,-0.7333646387270061,4
80,Slowbro,Regular,Gen 1,Water,95,75,110,100,80,30,1.6,78.5,30.7,0,0.38532186382613437,1.0244859387512972,0.6535247513932413,-1.3958448821805693,0.1951010788824195,4
83,Farfetch'd,Regular,Gen 1,Normal,52,90,55,58,62,60,0.8,15,23.4,0,-1.8839031994830115,0.5233425726033886,-0.7820549826497407,-0.5120662131041392,-0.3322866949823083,1
83,Farfetch'dGalarian Farfetch'd,Regular,Gen 1,Fighting,52,95,55,58,62,55,0.8,42,65.6,0,-1.4789056815498427,1.1656208492226836,-1.038853060975689,0.0909590733827636,0.24533567547237412,1
85,Dodrio,Regular,Gen 1,Normal,60,110,70,60,60,110,1.8,85.2,26.3,0,-0.9356457237458976,-0.5062623118570675,-1.3252750209873059,0.547678265710291,-0.683062462012249,1
87,Dewgong,Regular,Gen 1,Water,90,70,80,70,95,70,1.7,120,41.5,0,-0.07883981700822175,0.5911140881348047,0.31210841742991596,-0.5814295889866699,0.6262316532854313,4
89,Muk,Regular,Gen 1,Poison,105,105,75,65,100,50,1.2,30,20.8,0,-0.004149974117872893,0.4751377981525403,-0.039955199568569424,-1.2906303508325245,-0.04460837848716018,4
89,MukAlolan Muk,Regular,Gen 1,Poison,105,105,75,65,100,50,1,52,52,0,0.1783551921082891,0.9570672625685097,-0.19993427888845755,-0.7639907097070827,0.4614831579693822,4
91,Cloyster,Regular,Gen 1,Water,50,95,180,85,45,70,1.5,132.5,58.9,0,0.5845428520215954,1.9878417206377241,-0.2696018025753151,0.9715825002472221,-1.6940163863599602,3
94,Gengar,Regular,Gen 1,Ghost,60,65,60,130,75,110,1.5,40.5,18,0,-1.487902469719854,-1.431329524743345,0.681637339453769,0.47740038247158095,0.6502032087756384,1
94,GengarMega Gengar,Regular,Gen 1,Ghost,60,65,80,170,95,130,1.4,40.5,20.7,0,-1.0103103723902485,-1.980741476491667,1.8595654796768233,1.3833122153587873,0.6588802977946128,1
97,Hypno,Regular,Gen 1,Psychic,85,73,70,73,115,67,1.6,75.6,29.5,0,-0.3415421190507904,0.3634146358887642,0.9626174849226096,-0.6517945174331545,0.41076230910946354,4
99,Kingler,Regular,Gen 1,Water,55,130,115,50,50,75,1.3,60,35.5,0,-0.38025240483424677,0.994447267607408,-1.5145314573286095,0.40885450045339905,-1.809491274293699,1
101,Electrode,Regular,Gen 1,Electric,60,50,70,80,80,150,1.2,66.6,46.3,0,-1.70468656002587,-0.6615441417685423,0.10604631029319307,1.4689105084974559,0.7783038195318958,1
101,ElectrodeHisuian Electrode,Regular,Gen 1,Electric,60,50,70,80,80,150,1.2,71,49.3,0,-1.6722489495805353,-0.6192793584601317,0.08956268949134893,1.5181465335923559,0.8283323992411773,1
103,ExeggutorAlolan Exeggutor,Regular,Gen 1,Grass,95,105,85,125,75,45,10.9,415.6,3.5,2,4.606148924701104,-2.665401628521076,0.2381862104009185,-2.5881710062102363,-0.29300987853937405,2
103,Exeggutor,Regular,Gen 1,Grass,95,95,85,125,75,55,2,120,30,0,0.5151140943579892,-0.359568604382324,0.232665517715589,-0.766293819908486,0.5319482949475305,4
105,MarowakAlolan Marowak,Regular,Gen 1,Fire,60,80,110,50,80,45,1,34,34,0,-0.7622804320017821,1.8397818774391959,0.1531084219592873,-0.5794280813838408,-0.9071833775569231,4
105,Marowak,Regular,Gen 1,Ground,60,80,110,50,80,45,1,45,45,0,-0.6622898727799232,1.993634363323938,0.09596450513711481,-0.4032883883064011,-0.7297424357990602,4
106,Hitmonlee,Regular,Gen 1,Fighting,50,120,53,35,110,87,1.5,49.8,22.1,0,-1.0769608044157155,0.14366677900823813,-0.2273323074390365,0.3505240294115247,-1.1605951177175875,1
107,Hitmonchan,Regular,Gen 1,Fighting,50,105,79,35,110,76,1.4,50.2,25.6,0,-0.8671821827743598,0.8613762034068912,0.2207972480296793,0.19613518637636065,-1.2977187596665463,4
110,WeezingGalarian Weezing,Regular,Gen 1,Poison,65,90,120,85,70,60,3,16,1.8,0,-0.0060563781379489035,0.16554581932657197,0.34780181413812883,-0.9356045055362985,-1.4659960233160365,4
110,Weezing,Regular,Gen 1,Poison,65,90,120,85,70,60,1.2,9.5,6.6,0,-0.6084544549050449,0.6581897850393417,0.2958739871288131,-0.5541729193745006,-1.2797945303337799,4
115,Kangaskhan,Regular,Gen 1,Normal,105,95,80,40,80,90,2.2,80,16.5,0,0.018586741269577045,-0.04376772430234027,-0.9680089851143728,-0.9788194566095285,-0.1916012156014042,4
115,KangaskhanMega Kangaskhan,Regular,Gen 1,Normal,105,125,100,60,100,100,2.2,100,20.7,0,0.9120704009715621,-0.305119127333918,-0.45537144550153136,-0.11083339982794113,-0.8206769559193634,4
119,Seaking,Regular,Gen 1,Water,80,92,65,65,80,68,1.3,39,23.1,0,-0.8628803262066811,0.19307589619209448,-0.39921230246477063,-0.7174802483670911,-0.01881354051392939,1
121,Starmie,Regular,Gen 1,Water,60,75,85,100,85,115,1.1,80,66.1,0,-0.8340991511453177,0.010872767596666444,0.34980845551357986,1.5095575351868258,0.5704676363165951,1
122,Mr. MimeGalarian Mr. Mime,Regular,Gen 1,Ice,50,65,65,90,90,100,1.4,56.8,29,0,-1.5022520780963493,-0.32511552329657933,0.6974410485316878,0.5323594820238248,0.19421539283177758,1
122,Mr. Mime,Regular,Gen 1,Psychic,40,45,65,100,120,90,1.3,54.5,32.2,0,-1.6012969133910455,0.012959248229747027,2.122159124516978,0.6216658451219763,0.41388646110895905,1
124,Jynx,Regular,Gen 1,Ice,65,50,35,115,95,95,1.4,40.6,20.7,0,-1.7583575493871675,-1.1236035228005665,1.0984096333006756,-0.09043318627505306,1.2873619634729812,1
127,PinsirMega Pinsir,Regular,Gen 1,Bug,65,155,120,65,90,105,1.7,59,20.4,0,0.43384795390028325,-0.08284949082894802,-0.5992406939384034,1.0916626689564526,-2.3399269525513815,4
127,Pinsir,Regular,Gen 1,Bug,65,125,100,55,70,85,1.5,55,24.4,0,-0.3411498013744826,0.3650977804678847,-0.9815274903522221,0.24761514548334276,-1.4735617845154847,1
128,TaurosBlaze Breed,Regular,Gen 1,Fighting,75,110,105,30,70,100,1.4,85,43.4,0,-0.2570661309206841,0.8829964610891504,-1.3350440037978615,0.46125368350472457,-1.009884401531154,1
128,Tauros,Regular,Gen 1,Normal,75,100,95,40,70,110,1.4,88.4,45.1,0,-0.4832221254935493,0.5068855572199937,-1.19324059734457,0.6159038147311447,-0.5532841146872737,1
128,TaurosAqua Breed,Regular,Gen 1,Fighting,75,110,105,30,70,100,1.4,110,56.1,0,-0.09622267631472028,1.0633059189795189,-1.4089168742426388,0.6751396097189675,-0.7906508932028788,1
128,TaurosCombat Breed,Regular,Gen 1,Fighting,75,110,105,30,70,100,1.4,115,58.7,0,-0.06373004482595285,1.1001939338881135,-1.4239646174427525,0.7188262171962192,-0.7459064288089154,1
130,Gyarados,Regular,Gen 1,Water,95,125,79,60,100,81,6.5,235,5.6,1,2.4056962617336133,-1.4228813322038203,-0.37657745060465786,-1.2898234402897453,-1.008599552974299,2
130,GyaradosMega Gyarados,Regular,Gen 1,Water,95,155,109,70,130,81,6.5,305,7.2,1,3.684500300263115,-1.2228556249769071,0.4007310782302223,-0.5751287299277045,-1.900764832002757,2
131,Lapras,Regular,Gen 1,Water,130,85,80,85,95,60,2.5,220,35.2,0,1.4740131568264998,-0.01252370523703521,-0.029043045645138165,-1.4438258604083305,1.192532164557185,4
132,Ditto,Regular,Gen 1,Normal,48,48,48,48,48,48,0.3,4,44.4,0,-2.7106680844302358,1.4288573145155552,-0.7965089447891229,-0.820698989907759,0.6958733326535403,1
133,Eevee,Regular,Gen 1,Normal,55,55,50,45,65,55,0.3,6.5,72.2,0,-2.2345313507366034,1.7282773837900718,-0.6422576493351566,-0.23219919802139832,1.0278301015311233,1
133,EeveePartner Eevee,Regular,Gen 1,Normal,65,75,70,65,85,75,0.3,6.5,72.2,0,-1.4229005042816032,1.2428408124545391,-0.09244752061195212,0.49412735816953995,0.6642271811644145,1
134,Vaporeon,Regular,Gen 1,Water,130,65,60,110,95,65,1,29,29,0,-0.179981649991044,-0.40016507671009116,0.5344489495804714,-1.4673538273858897,1.8705643672792975,4
135,Jolteon,Regular,Gen 1,Electric,65,65,60,110,95,130,0.8,24.5,38.3,0,-1.5936795846890799,-1.010079490218231,0.7682476611655175,1.212080664002019,0.8627930128166456,1
136,Flareon,Regular,Gen 1,Fire,65,130,60,95,110,65,0.9,25,30.9,0,-0.5312675715371965,-0.15488817657119502,0.42854619552356477,0.3050102207765282,-0.5263252426156022,4
139,Omastar,Regular,Gen 1,Rock,70,60,125,115,70,55,1,35,35,0,-0.4738265125583959,0.9686640979310509,0.9933030326608606,-0.323524573556995,-0.04895327847016605,4
141,Kabutops,Regular,Gen 1,Rock,60,115,105,65,70,80,1.3,40.5,24,0,-0.5339048457370381,0.49762050498398347,-0.5906938303079671,0.24690246701598975,-1.4074551610582722,1
142,AerodactylMega Aerodactyl,Regular,Gen 1,Rock,80,135,85,70,95,150,2.1,79,17.9,0,0.06189397773302338,-1.489232137831595,-0.7125197784210872,1.3642187275679514,-1.130568811698095,1
142,Aerodactyl,Regular,Gen 1,Rock,80,105,65,60,75,130,1.8,59,18.2,0,-0.8257101942253848,-1.0719388934755154,-1.0695904758027,0.46785732839771826,-0.33148184900970384,1
143,Snorlax,Regular,Gen 1,Normal,160,110,65,65,110,30,2.1,460,104.3,1,3.357297409780302,1.4207102355330945,-0.9308866944884703,-1.1683048436960652,2.699381319994962,3
144,ArticunoGalarian Articuno,Legendary,Gen 1,Psychic,90,85,85,125,100,95,1.7,50.9,17.6,0,-0.07738633323406728,-1.0126756111538313,1.0645903596055788,0.0033362933614507484,0.3188838559563069,4
144,Articuno,Legendary,Gen 1,Ice,90,85,100,95,125,85,1.7,55.4,19.2,0,0.2685383499314289,-0.09748746314428097,1.5511777466715275,-0.13022964848112342,-0.22544892726945842,4
145,Zapdos,Legendary,Gen 1,Electric,90,90,85,125,90,100,1.6,52.6,20.5,0,-0.13345093973411842,-1.0899795320062704,0.6590617909342449,0.1566008851831826,0.3117949632553697,4
145,ZapdosGalarian Zapdos,Legendary,Gen 1,Fighting,90,125,90,85,90,100,1.6,58.2,22.7,0,0.19998113338780982,-0.6054941321666092,-0.35057933280223313,0.2948672160765474,-0.6626515924241514,4
146,Moltres,Legendary,Gen 1,Fire,90,100,90,125,85,90,2,60,15,0,0.18009497905455205,-1.0907553996051866,0.4836475724143343,-0.11238042246158769,-0.03367628985873561,4
146,MoltresGalarian Moltres,Legendary,Gen 1,Dark,90,85,90,100,125,90,2,66,16.5,0,0.25977277153433104,-0.5045560218735726,1.528551489543782,-0.13341446819792702,-0.058472396362096474,4
149,Dragonite,Regular,Gen 1,Dragon,91,134,95,100,100,80,2.2,210,43.4,0,1.481820219733019,-0.27530923354950665,-0.03700892920784612,0.44734161990876853,-0.3352215926380676,4
149,DragoniteMega Dragonite,Regular,Gen 1,Dragon,91,124,115,145,125,100,2.2,290,59.9,0,2.3098872196102502,-0.6420762506697657,1.385172522968837,1.583296584565502,0.1654453226127886,2
150,MewtwoMega Mewtwo Y,Legendary,Gen 1,Psychic,106,150,70,194,120,140,1.5,33,14.7,0,0.8162575487420153,-3.452435099592737,1.2164059091505839,1.6000864330397286,0.28540465192392817,2
150,MewtwoMega Mewtwo X,Legendary,Gen 1,Psychic,106,190,100,154,100,130,2.3,127,24,0,2.054514763977574,-2.5987536417198522,-0.28667357624971473,1.6336442027367795,-1.002245259067955,2
150,Mewtwo,Legendary,Gen 1,Psychic,106,110,90,154,90,130,2,122,30.5,0,0.8601521988007373,-2.114793252111074,0.4401887704178418,0.9865602789655337,0.6427111845065402,4
151,Mew,Mythical,Gen 1,Psychic,100,100,100,100,100,100,0.4,4,25,0,-0.23051497912458804,-0.25725493527618226,0.49063730693451246,0.28747662810371677,-0.075982482200646,4
154,Meganium,Regular,Gen 2,Grass,80,82,100,83,100,80,1.8,100.5,31,0,0.10464513492085405,0.3234677141836667,0.7258921323203722,-0.08469301995730082,-0.18098348104964057,4
157,TyphlosionHisuian Typhlosion,Regular,Gen 2,Fire,73,84,78,119,85,95,1.6,69.8,27.3,0,-0.5238403991844667,-0.8040463543986944,0.5944014956090873,0.329990128739593,0.30446591497859316,1
157,Typhlosion,Regular,Gen 2,Fire,78,84,78,109,85,100,1.7,79.5,27.5,0,-0.4295227267071426,-0.7852607636074969,0.38609089618328163,0.2799413648562748,0.31852755929034504,1
160,Feraligatr,Regular,Gen 2,Water,85,105,100,79,83,78,2.3,88.8,16.8,0,0.3537968019747483,-0.10794706536241591,-0.10899396523683615,-0.4472574465651863,-0.7316732022075307,4
162,Furret,Regular,Gen 2,Normal,85,76,64,45,55,90,1.8,32.5,10,0,-1.2691110252835422,-0.19114921103067695,-1.2628067033692316,-1.041102982379569,0.012240082086845627,1
164,Noctowl,Regular,Gen 2,Normal,100,50,50,86,96,70,1.6,40.8,15.9,0,-0.9241347013582647,-0.34091630067876344,0.6829475479816121,-1.426032414896234,1.3206408128255225,4
166,Ledian,Regular,Gen 2,Bug,55,35,50,55,110,85,1.4,35.6,18.2,0,-2.0058537820206075,0.2988548343605613,1.2115129187640536,-0.4679217892088927,0.5067631256088071,1
168,Ariados,Regular,Gen 2,Bug,70,90,70,60,70,40,1.1,33.5,27.7,0,-1.0308833484885256,0.9673907851248943,-0.4952369308836603,-1.0883895096482399,-0.2048899382343402,4
169,Crobat,Regular,Gen 2,Poison,85,90,80,70,80,130,1.8,75,23.1,0,-0.5458613114113493,-0.8611518174838533,-0.5353366960259371,0.4956862223646833,-0.0799667438420943,1
171,Lanturn,Regular,Gen 2,Water,125,58,58,76,76,67,1.2,22.5,15.6,0,-0.692916583969579,-0.16748836752252377,-0.29730336793401446,-1.9472130236741032,1.4627872850304344,4
178,Xatu,Regular,Gen 2,Psychic,65,75,70,95,70,95,1.5,15,6.7,0,-1.4276515294443735,-0.7712115123215101,0.09151180093848277,-0.20348439494402315,-0.08959859083083127,1
