dex,name,type_1,type_2,total,hp,attack,defense,sp_atk,sp_def,speed,height_m,weight_kgs,bmi,is_legendary,is_special,category,generation,is_dual_type,idx1,idx2,def_type,defensive_score,eff_atk,eff_def,eff_spd,eff_atk_s,eff_def_s,eff_spd_s,bst_score,offensive_rating,defensive_rating,tier,role
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,2,100,25,FALSE,FALSE,Regular,Gen 1,TRUE,5,8,Grass/Poison,30.35000000000001,100,7288.346863315439,0.38461538461538464,0.46296296296296297,0.3147174286300243,0.25641025641025644,18.95096362511725,40.88200323963244,38.386959690015615,B,Balanced
3,Mega Venusaur,Grass,Poison,625,80,100,123,122,120,80,2.4,155.5,27,FALSE,FALSE,Regular,Gen 1,TRUE,5,8,Grass/Poison,30.35000000000001,122,9719.259231031961,0.38461538461538464,0.5648148148148148,0.4196864296861361,0.25641025641025644,30.19659947470513,55.81300865111255,52.76296267606129,A,Balanced
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1.7,90.5,31.3,FALSE,FALSE,Regular,Gen 1,TRUE,2,10,Fire/Flying,34.55,109,6351.135331576552,0.5705128205128205,0.5046296296296297,0.27424778456905347,0.3803418803418803,20,45.91258072450834,39.974724607435064,B,Balanced
6,Mega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1.7,100.5,34.8,FALSE,FALSE,Regular,Gen 1,TRUE,2,10,Fire/Flying,34.55,159,7387.386547352183,0.5705128205128205,0.7361111111111112,0.318994052023082,0.3803418803418803,30.740991339960704,63.86649411363766,53.17851525518134,A,Offensive
6,Mega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1.7,110.5,38.2,FALSE,FALSE,Regular,Gen 1,TRUE,2,15,Fire/Dragon,31.75,156,7576.446396563497,0.5705128205128205,0.7222222222222222,0.32715782780335523,0.3803418803418803,30.740991339960704,63.49881010165264,52.45111254057456,A,Offensive
9,Blastoise,Water,NA,530,79,83,100,85,105,78,1.6,85.5,33.4,FALSE,FALSE,Regular,Gen 1,FALSE,3,NA,Water,31.550000000000004,100.8,8095.091105108083,0.3826923076923077,0.4666666666666667,0.34955337676759174,0.25512820512820517,21.914123422465103,44.134520606147575,42.56840446488731,B,Balanced
9,Mega Blastoise,Water,NA,630,79,103,120,135,115,78,1.6,101.1,39.5,FALSE,FALSE,Regular,Gen 1,FALSE,3,NA,Water,31.550000000000004,135,9280.398698331877,0.3826923076923077,0.625,0.4007360338050399,0.25512820512820517,30.416920079549243,57.69441320545641,53.2495848908702,A,Balanced
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1.1,32,26.4,FALSE,FALSE,Regular,Gen 1,TRUE,12,10,Flying/Bug,20.850000000000005,90,3794.7331922020553,0.375,0.4166666666666667,0.1638600213442046,0.25,7.297020952254254,26.78018108031948,19.984661464515167,F,Offensive
15,Mega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1.4,40.5,20.7,FALSE,FALSE,Regular,Gen 1,TRUE,12,8,Poison/Bug,29.85000000000001,150,3676.9552621700473,0.9887820512820513,0.6944444444444444,0.15877426349209012,0.6591880341880342,24.42556935796888,62.03206109276758,41.35781834844571,A,Offensive
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,29.5,29.5,FALSE,FALSE,Regular,Gen 1,TRUE,12,8,Poison/Bug,29.85000000000001,90,3676.9552621700473,0.3798076923076923,0.4166666666666667,0.15877426349209012,0.2532051282051282,7.297020952254254,26.826589610129872,22.56260327606442,F,Offensive
