dex,name,type_1,type_2,total,hp,attack,defense,sp_atk,sp_def,speed,height_m,weight_kgs,bmi,is_legendary,is_mythical,is_paradox,is_ultra_beast,is_special,category,generation,has_bug,has_dark,has_dragon,has_electric,has_fairy,has_fighting,has_fire,has_flying,has_ghost,has_grass,has_ground,has_ice,has_normal,has_poison,has_psychic,has_rock,has_steel,has_water,is_dual_type,idx1,idx2,def_type,defense_score,eff_atk,eff_def,eff_spd,eff_atk_s,eff_def_s,eff_spd_s,bst_score,offensive_rating,defensive_rating,total_rating,tier,role
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,2,100,25,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,5,8,Grass/Poison,38.46153846153847,100,7288.346863315439,0.38461538461538464,0.46296296296296297,0.11432700962063433,0.25641025641025644,18.95096362511725,39.6796607255761,36.0110511722518,37.84535594891395,D,Balanced
3,VenusaurMega Venusaur,Grass,Poison,625,80,100,123,122,120,80,2.4,155.5,27,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,5,8,Grass/Poison,38.46153846153847,122,9719.259231031961,0.38461538461538464,0.5648148148148148,0.15245896832991312,0.25641025641025644,30.19659947470513,54.20964388297521,48.78296514197348,51.49630451247434,C,Balanced
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1.7,90.5,31.3,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,10,Fire/Flying,53.84615384615385,109,6351.135331576552,0.5705128205128205,0.5046296296296297,0.09962565226002434,0.3803418803418803,20,44.864847930654165,41.572639585864515,43.218743758259336,D,Balanced
6,CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1.7,100.5,34.8,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,10,Fire/Flying,53.84615384615385,159,7387.386547352183,0.5705128205128205,0.7361111111111112,0.11588057329179895,0.3803418803418803,30.740991339960704,62.64781324124996,54.0926379194767,58.37022558036333,B,Balanced
6,CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1.7,110.5,38.2,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,15,Fire/Dragon,46.15384615384615,156,7576.446396563497,0.5705128205128205,0.7222222222222222,0.11884621798530975,0.3803418803418803,30.740991339960704,62.248940442744356,51.77278775109532,57.01086409691984,B,Offensive
9,Blastoise,Water,NA,530,79,83,100,85,105,78,1.6,85.5,33.4,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,3,NA,Water,41.66666666666667,100.8,8095.091105108083,0.3826923076923077,0.4666666666666667,0.12698182125659738,0.25512820512820517,21.914123422465103,42.799091273081615,40.26168713262344,41.53038920285253,D,Balanced
9,BlastoiseMega Blastoise,Water,NA,630,79,103,120,135,115,78,1.6,101.1,39.5,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,3,NA,Water,41.66666666666667,135,9280.398698331877,0.3826923076923077,0.625,0.14557488154246082,0.25512820512820517,30.416920079549243,56.16344629188093,50.1607172365683,53.16208176422462,C,Balanced
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1.1,32,26.4,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,12,10,Flying/Bug,15.384615384615385,90,3794.7331922020553,0.375,0.4166666666666667,0.059525226544345965,0.25,7.297020952254254,26.15417231152033,15.841011004703173,20.99759165811175,F,Offensive
15,BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1.4,40.5,20.7,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,12,8,Poison/Bug,38.46153846153847,150,3676.9552621700473,0.9887820512820513,0.6944444444444444,0.057677729602667406,0.6591880341880342,24.42556935796888,61.42548188943104,41.514963073561105,51.47022248149607,C,Offensive
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,29.5,29.5,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,12,8,Poison/Bug,38.46153846153847,90,3676.9552621700473,0.3798076923076923,0.4166666666666667,0.057677729602667406,0.2532051282051282,7.297020952254254,26.22001040679334,22.719748001179813,24.469879203986576,F,Balanced
18,PidgeotMega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,2.2,50.5,10.4,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,10,Normal/Flying,38.46153846153847,135,6640,0.7657051282051281,0.625,0.10415686274509804,0.5104700854700854,27.036061109037625,58.662284336790265,44.82428735338152,51.74328584508589,C,Offensive
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1.5,39.5,17.6,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,10,Normal/Flying,38.46153846153847,80,6013.921349668617,0.5798076923076924,0.37037037037037035,0.09433602117127242,0.38653846153846155,14.036779030217067,34.99082934527889,30.061527299011367,32.52617832214513,F,Balanced
20,Raticate,Normal,NA,413,55,81,60,50,70,97,0.7,18.5,37.8,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,FALSE,1,NA,Normal,33.33333333333333,81,3564.407384124323,0.5426282051282051,0.375,0.05591227269214624,0.36175213675213674,8.532989112634418,28.800514030838578,22.124883657245924,25.46269884404225,F,Balanced
20,RaticateAlolan Raticate,Dark,Normal,413,75,71,70,40,80,77,0.7,25.5,52,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,16,1,Normal/Dark,23.076923076923077,71,5612.486080160912,0.38173076923076926,0.3287037037037037,0.08803899733585745,0.2544871794871795,9.583079920450759,26.08011732326932,20.591315001810486,23.335716162539903,F,Balanced
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1.2,38,26.4,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,10,Normal/Flying,38.46153846153847,90,4092.935987772103,0.5705128205128205,0.4166666666666667,0.06420291745524867,0.3803418803418803,10.484635952334607,32.498058585271224,26.063967509722115,29.28101304749667,F,Balanced
24,Arbok,Poison,NA,448,60,95,69,65,79,80,3.5,65,5.3,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,FALSE,8,NA,Poison,50,95,4429.853270707733,0.38461538461538464,0.4398148148148148,0.06948789444247425,0.25641025641025644,10.71837992633473,30.483597891280176,30.024978281843,30.254288086561587,F,Balanced
25,Pikachu,Electric,NA,320,35,55,40,50,50,90,0.4,6,37.5,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,4,NA,Electric,41.66666666666667,63,1565.247584249853,0.4775641025641026,0.2916666666666667,0.024552903282350633,0.3183760683760684,2.8174692357126827,19.355812296432433,17.6567389144891,18.506275605460765,F,Balanced
25,PikachuPartner Pikachu,Electric,NA,430,45,80,50,75,60,120,0.4,6,37.5,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,4,NA,Electric,41.66666666666667,93,2464.7515087732477,0.7564102564102564,0.4305555555555556,0.03866276876507055,0.5042735042735043,9.047257029221848,34.29846441104304,25.05849681291688,29.67848061197996,F,Balanced
26,RaichuAlolan Raichu,Electric,Psychic,485,60,85,50,95,85,110,0.7,21,42.9,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,4,11,Electric/Psychic,38.46153846153847,95,3911.521443121589,0.6634615384615384,0.4398148148148148,0.06135719910778963,0.4423076923076923,12.832852032984281,37.01082428746008,28.48277523892166,32.74679976319087,F,Balanced
26,Raichu,Electric,NA,485,60,90,55,90,80,110,0.8,30,46.9,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,4,NA,Electric,41.66666666666667,108,3979.9497484264803,0.6634615384615384,0.5,0.06243058428904283,0.4423076923076923,14.588206027087718,40.57817414820659,31.586540050024748,36.08235709911567,D,Balanced
28,Sandslash,Ground,NA,450,75,100,110,45,55,65,1,29.5,29.5,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,FALSE,9,NA,Ground,33.33333333333333,100,5833.630944789017,0.3701923076923077,0.46296296296296297,0.09150793638884733,0.2467948717948718,13.4951265131967,33.8561399434956,28.46909476430681,31.162617353901204,F,Balanced
