dex,name,type_1,type_2,total,hp,attack,defense,sp_atk,sp_def,speed,height_m,weight_kgs,bmi,is_legendary,is_mythical,is_paradox,is_ultra_beast,is_special,category,generation,has_bug,has_dark,has_dragon,has_electric,has_fairy,has_fighting,has_fire,has_flying,has_ghost,has_grass,has_ground,has_ice,has_normal,has_poison,has_psychic,has_rock,has_steel,has_water,is_dual_type,bst_score,type_score,balance_score,access_score,total_rating,tier
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,2,100,25,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,30.19659947470513,4.615384615384616,16.00387977827495,7.109495026250039,57.92535889461473,B
3,VenusaurMega Venusaur,Grass,Poison,625,80,100,123,122,120,80,2.4,155.5,27,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,37.29813235441484,4.615384615384616,13.482906113571344,7.109495026250039,62.505918109620836,B
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1.7,90.5,31.3,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,31.161044311192484,17.307692307692307,15.040895502046396,7.109495026250039,70.61912714718123,A
6,CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1.7,100.5,34.8,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,37.619025360939936,17.307692307692307,11.33706218992008,7.109495026250039,73.37327488480237,A
6,CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1.7,110.5,38.2,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,37.619025360939936,13.846153846153847,13.168661730640343,7.109495026250039,71.74333596398417,A
9,Blastoise,Water,NA,530,79,83,100,85,105,78,1.6,85.5,33.4,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,30.740991339960704,16.153846153846153,15.457733616679679,7.109495026250039,69.46206613673658,A
9,BlastoiseMega Blastoise,Water,NA,630,79,103,120,135,115,78,1.6,101.1,39.5,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,37.48106575772014,16.153846153846153,12.917060508599082,7.109495026250039,73.66146744641541,A
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1.1,32,26.4,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,12.188133226097385,9.23076923076923,11.774051775902235,7.109495026250039,40.302449259018886,D
15,BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1.4,40.5,20.7,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,26.5048734868033,5.76923076923077,5.2690395102438305,7.109495026250039,44.65263879252794,D
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,29.5,29.5,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,12.188133226097385,5.76923076923077,10.941730745193972,7.109495026250039,36.00858976677217,D
