dex,name,type_1,type_2,total,hp,attack,defense,sp_atk,sp_def,speed,height_m,weight_kgs,bmi,is_legendary,is_mythical,is_paradox,is_ultra_beast,is_special,category,generation,has_bug,has_dark,has_dragon,has_electric,has_fairy,has_fighting,has_fire,has_flying,has_ghost,has_grass,has_ground,has_ice,has_normal,has_poison,has_psychic,has_rock,has_steel,has_water,is_dual_type,bst_score,type_score,balance_score,access_score,total_rating,tier
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,2,100,25,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,30,4.615384615384616,19.754614771714188,10,64.3699993870988,C
3,VenusaurMega Venusaur,Grass,Poison,625,80,100,123,122,120,80,2.4,155.5,27,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,40,4.615384615384616,17.91797259051277,10,72.53335720589737,B
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1.7,90.5,31.3,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,30,17.307692307692307,19.08965986350312,10,76.39735217119542,A
6,CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1.7,100.5,34.8,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,40,17.307692307692307,16.06057587177757,10,83.36826817946988,A
6,CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1.7,110.5,38.2,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,40,13.846153846153847,17.665283170292525,10,81.51143701644637,A
9,Blastoise,Water,NA,530,79,83,100,85,105,78,1.6,85.5,33.4,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,30,16.153846153846153,19.38257129368487,10,75.53641744753102,A
9,BlastoiseMega Blastoise,Water,NA,630,79,103,120,135,115,78,1.6,101.1,39.5,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,40,16.153846153846153,17.45858077013933,10,83.61242692398548,A
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1.1,32,26.4,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,15,9.23076923076923,16.46582691688279,10,50.696596147652016,D
15,BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1.4,40.5,20.7,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,25,5.76923076923077,7.8504309713105425,10,48.61966174054131,D
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,29.5,29.5,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,15,5.76923076923077,15.680266119011883,10,46.44949688824265,D
18,PidgeotMega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,2.2,50.5,10.4,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,35,10.384615384615385,16.629962563752137,10,72.01457794836753,B
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1.5,39.5,17.6,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,25,10.384615384615385,19.024461076188146,10,64.40907646080353,C
20,Raticate,Normal,NA,413,55,81,60,50,70,97,0.7,18.5,37.8,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,FALSE,20,4.615384615384616,16.631754353771722,10,51.24713896915634,D
