dex,name,category,cluster
1,Bulbasaur,Regular,3
2,Ivysaur,Regular,1
3,Venusaur,Regular,1
3,VenusaurMega Venusaur,Regular,1
4,Charmander,Regular,3
5,Charmeleon,Regular,3
6,Charizard,Regular,1
6,CharizardMega Charizard Y,Regular,1
6,CharizardMega Charizard X,Regular,1
7,Squirtle,Regular,3
8,Wartortle,Regular,1
9,Blastoise,Regular,1
9,BlastoiseMega Blastoise,Regular,1
10,Caterpie,Regular,3
11,Metapod,Regular,3
12,Butterfree,Regular,3
13,Weedle,Regular,3
14,Kakuna,Regular,3
15,BeedrillMega Beedrill,Regular,1
15,Beedrill,Regular,3
16,Pidgey,Regular,3
17,Pidgeotto,Regular,3
18,PidgeotMega Pidgeot,Regular,1
18,Pidgeot,Regular,1
19,Rattata,Regular,3
19,RattataAlolan Rattata,Regular,3
20,Raticate,Regular,3
20,RaticateAlolan Raticate,Regular,1
21,Spearow,Regular,3
22,Fearow,Regular,1
23,Ekans,Regular,3
24,Arbok,Regular,1
25,Pikachu,Regular,3
25,PikachuPartner Pikachu,Regular,1
26,RaichuAlolan Raichu,Regular,1
26,Raichu,Regular,1
27,Sandshrew,Regular,3
27,SandshrewAlolan Sandshrew,Regular,3
28,Sandslash,Regular,1
28,SandslashAlolan Sandslash,Regular,1
29,Nidoranâ,Regular,3
30,Nidorina,Regular,3
31,Nidoqueen,Regular,1
32,Nidoranâ,Regular,3
33,Nidorino,Regular,3
34,Nidoking,Regular,1
35,Clefairy,Regular,3
36,Clefable,Regular,1
37,Vulpix,Regular,3
37,VulpixAlolan Vulpix,Regular,3
38,Ninetales,Regular,1
38,NinetalesAlolan Ninetales,Regular,1
39,Jigglypuff,Regular,3
40,Wigglytuff,Regular,1
41,Zubat,Regular,3
42,Golbat,Regular,1
43,Oddish,Regular,3
44,Gloom,Regular,3
45,Vileplume,Regular,1
46,Paras,Regular,3
47,Parasect,Regular,1
48,Venonat,Regular,3
49,Venomoth,Regular,1
50,Diglett,Regular,3
50,DiglettAlolan Diglett,Regular,3
51,Dugtrio,Regular,1
51,DugtrioAlolan Dugtrio,Regular,2
52,Meowth,Regular,3
52,MeowthAlolan Meowth,Regular,3
52,MeowthGalarian Meowth,Regular,3
53,PersianAlolan Persian,Regular,1
53,Persian,Regular,1
54,Psyduck,Regular,3
55,Golduck,Regular,1
56,Mankey,Regular,3
57,Primeape,Regular,1
58,GrowlitheHisuian Growlithe,Regular,3
58,Growlithe,Regular,3
59,ArcanineHisuian Arcanine,Regular,1
59,Arcanine,Regular,1
60,Poliwag,Regular,3
61,Poliwhirl,Regular,3
62,Poliwrath,Regular,1
63,Abra,Regular,3
64,Kadabra,Regular,3
65,Alakazam,Regular,1
65,AlakazamMega Alakazam,Regular,1
66,Machop,Regular,3
67,Machoke,Regular,1
68,Machamp,Regular,1
69,Bellsprout,Regular,3
70,Weepinbell,Regular,3
71,Victreebel,Regular,1
71,VictreebelMega Victreebel,Regular,4
72,Tentacool,Regular,3
73,Tentacruel,Regular,1
74,Geodude,Regular,2
74,GeodudeAlolan Geodude,Regular,2
75,Graveler,Regular,2
75,GravelerAlolan Graveler,Regular,2
76,GolemAlolan Golem,Regular,2
76,Golem,Regular,2
77,Ponyta,Regular,3
77,PonytaGalarian Ponyta,Regular,3
