dex,name,type_1,type_2,total,hp,attack,defense,sp_atk,sp_def,speed,height_m,weight_kgs,bmi,is_legendary,is_special,category,generation
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,0.7,6.9,14.1,FALSE,FALSE,Regular,Gen 1
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,13,13,FALSE,FALSE,Regular,Gen 1
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,2,100,25,FALSE,FALSE,Regular,Gen 1
3,Mega Venusaur,Grass,Poison,625,80,100,123,122,120,80,2.4,155.5,27,FALSE,FALSE,Regular,Gen 1
4,Charmander,Fire,NA,309,39,52,43,60,50,65,0.6,8.5,23.6,FALSE,FALSE,Regular,Gen 1
5,Charmeleon,Fire,NA,405,58,64,58,80,65,80,1.1,19,15.7,FALSE,FALSE,Regular,Gen 1
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1.7,90.5,31.3,FALSE,FALSE,Regular,Gen 1
6,Mega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1.7,100.5,34.8,FALSE,FALSE,Regular,Gen 1
6,Mega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1.7,110.5,38.2,FALSE,FALSE,Regular,Gen 1
7,Squirtle,Water,NA,314,44,48,65,50,64,43,0.5,9,36,FALSE,FALSE,Regular,Gen 1
8,Wartortle,Water,NA,405,59,63,80,65,80,58,1,22.5,22.5,FALSE,FALSE,Regular,Gen 1
9,Blastoise,Water,NA,530,79,83,100,85,105,78,1.6,85.5,33.4,FALSE,FALSE,Regular,Gen 1
9,Mega Blastoise,Water,NA,630,79,103,120,135,115,78,1.6,101.1,39.5,FALSE,FALSE,Regular,Gen 1
10,Caterpie,Bug,NA,195,45,30,35,20,20,45,0.3,2.9,32.2,FALSE,FALSE,Regular,Gen 1
11,Metapod,Bug,NA,205,50,20,55,25,25,30,0.7,9.9,20.2,FALSE,FALSE,Regular,Gen 1
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1.1,32,26.4,FALSE,FALSE,Regular,Gen 1
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,0.3,3.2,35.6,FALSE,FALSE,Regular,Gen 1
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,0.6,10,27.8,FALSE,FALSE,Regular,Gen 1
15,Mega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1.4,40.5,20.7,FALSE,FALSE,Regular,Gen 1
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,29.5,29.5,FALSE,FALSE,Regular,Gen 1
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,0.3,1.8,20,FALSE,FALSE,Regular,Gen 1
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1.1,30,24.8,FALSE,FALSE,Regular,Gen 1
18,Mega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,2.2,50.5,10.4,FALSE,FALSE,Regular,Gen 1
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1.5,39.5,17.6,FALSE,FALSE,Regular,Gen 1
19,Rattata,Normal,NA,253,30,56,35,25,35,72,0.3,3.5,38.9,FALSE,FALSE,Regular,Gen 1
19,Alolan Rattata,Dark,Normal,253,30,56,35,25,35,72,0.3,3.8,42.2,FALSE,FALSE,Regular,Gen 1
20,Raticate,Normal,NA,413,55,81,60,50,70,97,0.7,18.5,37.8,FALSE,FALSE,Regular,Gen 1
20,Alolan Raticate,Dark,Normal,413,75,71,70,40,80,77,0.7,25.5,52,FALSE,FALSE,Regular,Gen 1
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,0.3,2,22.2,FALSE,FALSE,Regular,Gen 1
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1.2,38,26.4,FALSE,FALSE,Regular,Gen 1
23,Ekans,Poison,NA,288,35,60,44,40,54,55,2,6.9,1.7,FALSE,FALSE,Regular,Gen 1
24,Arbok,Poison,NA,448,60,95,69,65,79,80,3.5,65,5.3,FALSE,FALSE,Regular,Gen 1
25,Pikachu,Electric,NA,320,35,55,40,50,50,90,0.4,6,37.5,FALSE,FALSE,Regular,Gen 1
25,Partner Pikachu,Electric,NA,430,45,80,50,75,60,120,0.4,6,37.5,FALSE,FALSE,Regular,Gen 1
26,Alolan Raichu,Electric,Psychic,485,60,85,50,95,85,110,0.7,21,42.9,FALSE,FALSE,Regular,Gen 1
26,Raichu,Electric,NA,485,60,90,55,90,80,110,0.8,30,46.9,FALSE,FALSE,Regular,Gen 1
27,Sandshrew,Ground,NA,300,50,75,85,20,30,40,0.6,12,33.3,FALSE,FALSE,Regular,Gen 1
27,Alolan Sandshrew,Ice,Steel,300,50,75,90,10,35,40,0.7,40,81.6,FALSE,FALSE,Regular,Gen 1
28,Sandslash,Ground,NA,450,75,100,110,45,55,65,1,29.5,29.5,FALSE,FALSE,Regular,Gen 1
28,Alolan Sandslash,Ice,Steel,450,75,100,120,25,65,65,1.2,55,38.2,FALSE,FALSE,Regular,Gen 1
29,Nidoran(female),Poison,NA,275,55,47,52,40,40,41,0.4,7,43.8,FALSE,FALSE,Regular,Gen 1
30,Nidorina,Poison,NA,365,70,62,67,55,55,56,0.8,20,31.3,FALSE,FALSE,Regular,Gen 1
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1.3,60,35.5,FALSE,FALSE,Regular,Gen 1
32,Nidoran(male),Poison,NA,273,46,57,40,40,40,50,0.5,9,36,FALSE,FALSE,Regular,Gen 1
33,Nidorino,Poison,NA,365,61,72,57,55,55,65,0.9,19.5,24.1,FALSE,FALSE,Regular,Gen 1
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1.4,62,31.6,FALSE,FALSE,Regular,Gen 1
35,Clefairy,Fairy,NA,323,70,45,48,60,65,35,0.6,7.5,20.8,FALSE,FALSE,Regular,Gen 1
36,Clefable,Fairy,NA,483,95,70,73,95,90,60,1.3,40,23.7,FALSE,FALSE,Regular,Gen 1
37,Vulpix,Fire,NA,299,38,41,40,50,65,65,0.6,9.9,27.5,FALSE,FALSE,Regular,Gen 1
37,Alolan Vulpix,Ice,NA,299,38,41,40,50,65,65,0.6,9.9,27.5,FALSE,FALSE,Regular,Gen 1
38,Ninetales,Fire,NA,505,73,76,75,81,100,100,1.1,19.9,16.4,FALSE,FALSE,Regular,Gen 1
38,Alolan Ninetales,Ice,Fairy,505,73,67,75,81,100,109,1.1,19.9,16.4,FALSE,FALSE,Regular,Gen 1
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,0.5,5.5,22,FALSE,FALSE,Regular,Gen 1
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,12,12,FALSE,FALSE,Regular,Gen 1
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,0.8,7.5,11.7,FALSE,FALSE,Regular,Gen 1
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1.6,55,21.5,FALSE,FALSE,Regular,Gen 1
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,0.5,5.4,21.6,FALSE,FALSE,Regular,Gen 1
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,0.8,8.6,13.4,FALSE,FALSE,Regular,Gen 1
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1.2,18.6,12.9,FALSE,FALSE,Regular,Gen 1
46,Paras,Bug,Grass,285,35,70,55,45,55,25,0.3,5.4,60,FALSE,FALSE,Regular,Gen 1
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,29.5,29.5,FALSE,FALSE,Regular,Gen 1
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,30,30,FALSE,FALSE,Regular,Gen 1
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1.5,12.5,5.6,FALSE,FALSE,Regular,Gen 1
50,Diglett,Ground,NA,265,10,55,25,35,45,95,0.2,0.8,20,FALSE,FALSE,Regular,Gen 1
50,Alolan Diglett,Ground,Steel,265,10,55,30,35,45,90,0.2,1,25,FALSE,FALSE,Regular,Gen 1
51,Dugtrio,Ground,NA,425,35,100,50,50,70,120,0.7,33.3,68,FALSE,FALSE,Regular,Gen 1
51,Alolan Dugtrio,Ground,Steel,425,35,100,60,50,70,110,0.7,66.6,135.9,FALSE,FALSE,Regular,Gen 1
52,Meowth,Normal,NA,290,40,45,35,40,40,90,0.4,4.2,26.3,FALSE,FALSE,Regular,Gen 1
52,Alolan Meowth,Dark,NA,290,40,35,35,50,40,90,0.4,4.2,26.3,FALSE,FALSE,Regular,Gen 1
52,Galarian Meowth,Steel,NA,290,50,65,55,40,40,40,0.4,7.5,46.9,FALSE,FALSE,Regular,Gen 1
53,Alolan Persian,Dark,NA,440,65,60,60,75,65,115,1.1,33,27.3,FALSE,FALSE,Regular,Gen 1
53,Persian,Normal,NA,440,65,70,60,65,65,115,1,32,32,FALSE,FALSE,Regular,Gen 1
54,Psyduck,Water,NA,320,50,52,48,65,50,55,0.8,19.6,30.6,FALSE,FALSE,Regular,Gen 1
55,Golduck,Water,NA,500,80,82,78,95,80,85,1.7,76.6,26.5,FALSE,FALSE,Regular,Gen 1
56,Mankey,Fighting,NA,305,40,80,35,35,45,70,0.5,28,112,FALSE,FALSE,Regular,Gen 1
57,Primeape,Fighting,NA,455,65,105,60,60,70,95,1,32,32,FALSE,FALSE,Regular,Gen 1
58,Hisuian Growlithe,Fire,Rock,350,60,75,45,65,50,55,0.8,22.7,35.5,FALSE,FALSE,Regular,Gen 1
58,Growlithe,Fire,NA,350,55,70,45,70,50,60,0.7,19,38.8,FALSE,FALSE,Regular,Gen 1
59,Hisuian Arcanine,Fire,Rock,555,95,115,80,95,80,90,2,168,42,FALSE,FALSE,Regular,Gen 1
59,Arcanine,Fire,NA,555,90,110,80,100,80,95,1.9,155,42.9,FALSE,FALSE,Regular,Gen 1
60,Poliwag,Water,NA,300,40,50,40,40,40,90,0.6,12.4,34.4,FALSE,FALSE,Regular,Gen 1
61,Poliwhirl,Water,NA,385,65,65,65,50,50,90,1,20,20,FALSE,FALSE,Regular,Gen 1
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1.3,54,32,FALSE,FALSE,Regular,Gen 1
63,Abra,Psychic,NA,310,25,20,15,105,55,90,0.9,19.5,24.1,FALSE,FALSE,Regular,Gen 1
64,Kadabra,Psychic,NA,400,40,35,30,120,70,105,1.3,56.5,33.4,FALSE,FALSE,Regular,Gen 1
65,Alakazam,Psychic,NA,500,55,50,45,135,95,120,1.5,48,21.3,FALSE,FALSE,Regular,Gen 1
65,Mega Alakazam,Psychic,NA,600,55,50,65,175,105,150,1.2,48,33.3,FALSE,FALSE,Regular,Gen 1
66,Machop,Fighting,NA,305,70,80,50,35,35,35,0.8,19.5,30.5,FALSE,FALSE,Regular,Gen 1
67,Machoke,Fighting,NA,405,80,100,70,50,60,45,1.5,70.5,31.3,FALSE,FALSE,Regular,Gen 1
68,Machamp,Fighting,NA,505,90,130,80,65,85,55,1.6,130,50.8,FALSE,FALSE,Regular,Gen 1
69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,0.7,4,8.2,FALSE,FALSE,Regular,Gen 1
70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,6.4,6.4,FALSE,FALSE,Regular,Gen 1
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1.7,15.5,5.4,FALSE,FALSE,Regular,Gen 1
71,Mega Victreebel,Grass,Poison,590,80,125,85,135,95,70,4.5,125.5,6.2,FALSE,FALSE,Regular,Gen 1
72,Tentacool,Water,Poison,335,40,40,35,50,100,70,0.9,45.5,56.2,FALSE,FALSE,Regular,Gen 1
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1.6,55,21.5,FALSE,FALSE,Regular,Gen 1
74,Geodude,Rock,Ground,300,40,80,100,30,30,20,0.4,20,125,FALSE,FALSE,Regular,Gen 1
74,Alolan Geodude,Rock,Electric,300,40,80,100,30,30,20,0.4,20.3,126.9,FALSE,FALSE,Regular,Gen 1
75,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,105,105,FALSE,FALSE,Regular,Gen 1
75,Alolan Graveler,Rock,Electric,390,55,95,115,45,45,35,1,110,110,FALSE,FALSE,Regular,Gen 1
76,Alolan Golem,Rock,Electric,495,80,120,130,55,65,45,1.7,316,109.3,FALSE,FALSE,Regular,Gen 1
76,Golem,Rock,Ground,495,80,120,130,55,65,45,1.4,300,153.1,FALSE,FALSE,Regular,Gen 1
77,Ponyta,Fire,NA,410,50,85,55,65,65,90,1,30,30,FALSE,FALSE,Regular,Gen 1
77,Galarian Ponyta,Psychic,NA,410,50,85,55,65,65,90,0.8,24,37.5,FALSE,FALSE,Regular,Gen 1
78,Galarian Rapidash,Psychic,Fairy,500,65,100,70,80,80,105,1.7,80,27.7,FALSE,FALSE,Regular,Gen 1
78,Rapidash,Fire,NA,500,65,100,70,80,80,105,1.7,95,32.9,FALSE,FALSE,Regular,Gen 1
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1.2,36,25,FALSE,FALSE,Regular,Gen 1
79,Galarian Slowpoke,Psychic,NA,315,90,65,65,40,40,15,1.2,36,25,FALSE,FALSE,Regular,Gen 1
80,Galarian Slowbro,Poison,Psychic,490,95,100,95,100,70,30,1.6,70.5,27.5,FALSE,FALSE,Regular,Gen 1
80,Mega Slowbro,Water,Psychic,590,95,75,180,130,80,30,2,120,30,FALSE,FALSE,Regular,Gen 1
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1.6,78.5,30.7,FALSE,FALSE,Regular,Gen 1
81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,0.3,6,66.7,FALSE,FALSE,Regular,Gen 1
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,60,60,FALSE,FALSE,Regular,Gen 1
83,Farfetch'd,Normal,Flying,377,52,90,55,58,62,60,0.8,15,23.4,FALSE,FALSE,Regular,Gen 1
83,Galarian Farfetch'd,Fighting,NA,377,52,95,55,58,62,55,0.8,42,65.6,FALSE,FALSE,Regular,Gen 1
