dex,name,variant,display_name,sprite_png,sprite_avif,gif_url,gif_url_shiny,showdown_gif,showdown_gif_shiny,local_filename,local_gif_path
0001,Bulbasaur,NA,Bulbasaur,https://img.pokemondb.net/sprites/scarlet-violet/icon/bulbasaur.png,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/bulbasaur.avif,https://img.pokemondb.net/sprites/black-white/anim/normal/bulbasaur.gif,https://img.pokemondb.net/sprites/black-white/anim/shiny/bulbasaur.gif,https://play.pokemonshowdown.com/sprites/ani/bulbasaur.gif,https://play.pokemonshowdown.com/sprites/ani-shiny/bulbasaur.gif,bulbasaur.gif,assets/sprites/gif/bulbasaur.gif
0002,Ivysaur,NA,Ivysaur,https://img.pokemondb.net/sprites/scarlet-violet/icon/ivysaur.png,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/ivysaur.avif,https://img.pokemondb.net/sprites/black-white/anim/normal/ivysaur.gif,https://img.pokemondb.net/sprites/black-white/anim/shiny/ivysaur.gif,https://play.pokemonshowdown.com/sprites/ani/ivysaur.gif,https://play.pokemonshowdown.com/sprites/ani-shiny/ivysaur.gif,ivysaur.gif,assets/sprites/gif/ivysaur.gif
0003,Venusaur,NA,Venusaur,https://img.pokemondb.net/sprites/scarlet-violet/icon/venusaur.png,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/venusaur.avif,https://img.pokemondb.net/sprites/black-white/anim/normal/venusaur.gif,https://img.pokemondb.net/sprites/black-white/anim/shiny/venusaur.gif,https://play.pokemonshowdown.com/sprites/ani/venusaur.gif,https://play.pokemonshowdown.com/sprites/ani-shiny/venusaur.gif,venusaur.gif,assets/sprites/gif/venusaur.gif
0003,Venusaur,Mega Venusaur,Venusaur (Mega Venusaur),https://img.pokemondb.net/sprites/scarlet-violet/icon/venusaur-mega.png,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/venusaur-mega.avif,https://img.pokemondb.net/sprites/black-white/anim/normal/venusaur-mega.gif,https://img.pokemondb.net/sprites/black-white/anim/shiny/venusaur-mega.gif,https://play.pokemonshowdown.com/sprites/ani/venusaur-mega.gif,https://play.pokemonshowdown.com/sprites/ani-shiny/venusaur-mega.gif,venusaur-mega-venusaur.gif,assets/sprites/gif/venusaur-mega-venusaur.gif
0004,Charmander,NA,Charmander,https://img.pokemondb.net/sprites/scarlet-violet/icon/charmander.png,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/charmander.avif,https://img.pokemondb.net/sprites/black-white/anim/normal/charmander.gif,https://img.pokemondb.net/sprites/black-white/anim/shiny/charmander.gif,https://play.pokemonshowdown.com/sprites/ani/charmander.gif,https://play.pokemonshowdown.com/sprites/ani-shiny/charmander.gif,charmander.gif,assets/sprites/gif/charmander.gif
0005,Charmeleon,NA,Charmeleon,https://img.pokemondb.net/sprites/scarlet-violet/icon/charmeleon.png,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/charmeleon.avif,https://img.pokemondb.net/sprites/black-white/anim/normal/charmeleon.gif,https://img.pokemondb.net/sprites/black-white/anim/shiny/charmeleon.gif,https://play.pokemonshowdown.com/sprites/ani/charmeleon.gif,https://play.pokemonshowdown.com/sprites/ani-shiny/charmeleon.gif,charmeleon.gif,assets/sprites/gif/charmeleon.gif
0006,Charizard,NA,Charizard,https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard.png,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/charizard.avif,https://img.pokemondb.net/sprites/black-white/anim/normal/charizard.gif,https://img.pokemondb.net/sprites/black-white/anim/shiny/charizard.gif,https://play.pokemonshowdown.com/sprites/ani/charizard.gif,https://play.pokemonshowdown.com/sprites/ani-shiny/charizard.gif,charizard.gif,assets/sprites/gif/charizard.gif
0006,Charizard,Mega Charizard X,Charizard (Mega Charizard X),https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard-mega-x.png,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/charizard-mega-x.avif,https://img.pokemondb.net/sprites/black-white/anim/normal/charizard-mega-x.gif,https://img.pokemondb.net/sprites/black-white/anim/shiny/charizard-mega-x.gif,https://play.pokemonshowdown.com/sprites/ani/charizard-megax.gif,https://play.pokemonshowdown.com/sprites/ani-shiny/charizard-megax.gif,charizard-mega-charizard-x.gif,assets/sprites/gif/charizard-mega-charizard-x.gif
0006,Charizard,Mega Charizard Y,Charizard (Mega Charizard Y),https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard-mega-y.png,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/charizard-mega-y.avif,https://img.pokemondb.net/sprites/black-white/anim/normal/charizard-mega-y.gif,https://img.pokemondb.net/sprites/black-white/anim/shiny/charizard-mega-y.gif,https://play.pokemonshowdown.com/sprites/ani/charizard-megay.gif,https://play.pokemonshowdown.com/sprites/ani-shiny/charizard-megay.gif,charizard-mega-charizard-y.gif,assets/sprites/gif/charizard-mega-charizard-y.gif
0007,Squirtle,NA,Squirtle,https://img.pokemondb.net/sprites/scarlet-violet/icon/squirtle.png,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/squirtle.avif,https://img.pokemondb.net/sprites/black-white/anim/normal/squirtle.gif,https://img.pokemondb.net/sprites/black-white/anim/shiny/squirtle.gif,https://play.pokemonshowdown.com/sprites/ani/squirtle.gif,https://play.pokemonshowdown.com/sprites/ani-shiny/squirtle.gif,squirtle.gif,assets/sprites/gif/squirtle.gif
0008,Wartortle,NA,Wartortle,https://img.pokemondb.net/sprites/scarlet-violet/icon/wartortle.png,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/wartortle.avif,https://img.pokemondb.net/sprites/black-white/anim/normal/wartortle.gif,https://img.pokemondb.net/sprites/black-white/anim/shiny/wartortle.gif,https://play.pokemonshowdown.com/sprites/ani/wartortle.gif,https://play.pokemonshowdown.com/sprites/ani-shiny/wartortle.gif,wartortle.gif,assets/sprites/gif/wartortle.gif
