dex,name,type_1,type_2,total,hp,attack,defense,sp_atk,sp_def,speed,height_m,weight_kgs,bmi,is_legendary,is_special,category,generation,is_dual_type
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,2,100,25,FALSE,FALSE,Regular,Gen 1,TRUE
3,Mega Venusaur,Grass,Poison,625,80,100,123,122,120,80,2.4,155.5,27,FALSE,FALSE,Regular,Gen 1,TRUE
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1.7,90.5,31.3,FALSE,FALSE,Regular,Gen 1,TRUE
6,Mega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1.7,100.5,34.8,FALSE,FALSE,Regular,Gen 1,TRUE
6,Mega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1.7,110.5,38.2,FALSE,FALSE,Regular,Gen 1,TRUE
9,Blastoise,Water,NA,530,79,83,100,85,105,78,1.6,85.5,33.4,FALSE,FALSE,Regular,Gen 1,FALSE
9,Mega Blastoise,Water,NA,630,79,103,120,135,115,78,1.6,101.1,39.5,FALSE,FALSE,Regular,Gen 1,FALSE
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1.1,32,26.4,FALSE,FALSE,Regular,Gen 1,TRUE
15,Mega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1.4,40.5,20.7,FALSE,FALSE,Regular,Gen 1,TRUE
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,29.5,29.5,FALSE,FALSE,Regular,Gen 1,TRUE
18,Mega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,2.2,50.5,10.4,FALSE,FALSE,Regular,Gen 1,TRUE
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1.5,39.5,17.6,FALSE,FALSE,Regular,Gen 1,TRUE
20,Raticate,Normal,NA,413,55,81,60,50,70,97,0.7,18.5,37.8,FALSE,FALSE,Regular,Gen 1,FALSE
20,Alolan Raticate,Dark,Normal,413,75,71,70,40,80,77,0.7,25.5,52,FALSE,FALSE,Regular,Gen 1,TRUE
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1.2,38,26.4,FALSE,FALSE,Regular,Gen 1,TRUE
24,Arbok,Poison,NA,448,60,95,69,65,79,80,3.5,65,5.3,FALSE,FALSE,Regular,Gen 1,FALSE
25,Pikachu,Electric,NA,320,35,55,40,50,50,90,0.4,6,37.5,FALSE,FALSE,Regular,Gen 1,FALSE
25,Partner Pikachu,Electric,NA,430,45,80,50,75,60,120,0.4,6,37.5,FALSE,FALSE,Regular,Gen 1,FALSE
26,Alolan Raichu,Electric,Psychic,485,60,85,50,95,85,110,0.7,21,42.9,FALSE,FALSE,Regular,Gen 1,TRUE
26,Raichu,Electric,NA,485,60,90,55,90,80,110,0.8,30,46.9,FALSE,FALSE,Regular,Gen 1,FALSE
28,Sandslash,Ground,NA,450,75,100,110,45,55,65,1,29.5,29.5,FALSE,FALSE,Regular,Gen 1,FALSE
28,Alolan Sandslash,Ice,Steel,450,75,100,120,25,65,65,1.2,55,38.2,FALSE,FALSE,Regular,Gen 1,TRUE
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1.3,60,35.5,FALSE,FALSE,Regular,Gen 1,TRUE
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1.4,62,31.6,FALSE,FALSE,Regular,Gen 1,TRUE
36,Clefable,Fairy,NA,483,95,70,73,95,90,60,1.3,40,23.7,FALSE,FALSE,Regular,Gen 1,FALSE
38,Ninetales,Fire,NA,505,73,76,75,81,100,100,1.1,19.9,16.4,FALSE,FALSE,Regular,Gen 1,FALSE
38,Alolan Ninetales,Ice,Fairy,505,73,67,75,81,100,109,1.1,19.9,16.4,FALSE,FALSE,Regular,Gen 1,TRUE
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,12,12,FALSE,FALSE,Regular,Gen 1,TRUE
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1.2,18.6,12.9,FALSE,FALSE,Regular,Gen 1,TRUE
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,29.5,29.5,FALSE,FALSE,Regular,Gen 1,TRUE
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1.5,12.5,5.6,FALSE,FALSE,Regular,Gen 1,TRUE
51,Dugtrio,Ground,NA,425,35,100,50,50,70,120,0.7,33.3,68,FALSE,FALSE,Regular,Gen 1,FALSE
51,Alolan Dugtrio,Ground,Steel,425,35,100,60,50,70,110,0.7,66.6,135.9,FALSE,FALSE,Regular,Gen 1,TRUE
53,Alolan Persian,Dark,NA,440,65,60,60,75,65,115,1.1,33,27.3,FALSE,FALSE,Regular,Gen 1,FALSE
53,Persian,Normal,NA,440,65,70,60,65,65,115,1,32,32,FALSE,FALSE,Regular,Gen 1,FALSE
55,Golduck,Water,NA,500,80,82,78,95,80,85,1.7,76.6,26.5,FALSE,FALSE,Regular,Gen 1,FALSE
59,Hisuian Arcanine,Fire,Rock,555,95,115,80,95,80,90,2,168,42,FALSE,FALSE,Regular,Gen 1,TRUE
59,Arcanine,Fire,NA,555,90,110,80,100,80,95,1.9,155,42.9,FALSE,FALSE,Regular,Gen 1,FALSE
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1.3,54,32,FALSE,FALSE,Regular,Gen 1,TRUE
65,Alakazam,Psychic,NA,500,55,50,45,135,95,120,1.5,48,21.3,FALSE,FALSE,Regular,Gen 1,FALSE
65,Mega Alakazam,Psychic,NA,600,55,50,65,175,105,150,1.2,48,33.3,FALSE,FALSE,Regular,Gen 1,FALSE
68,Machamp,Fighting,NA,505,90,130,80,65,85,55,1.6,130,50.8,FALSE,FALSE,Regular,Gen 1,FALSE
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1.7,15.5,5.4,FALSE,FALSE,Regular,Gen 1,TRUE
71,Mega Victreebel,Grass,Poison,590,80,125,85,135,95,70,4.5,125.5,6.2,FALSE,FALSE,Regular,Gen 1,TRUE
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1.6,55,21.5,FALSE,FALSE,Regular,Gen 1,TRUE
76,Alolan Golem,Rock,Electric,495,80,120,130,55,65,45,1.7,316,109.3,FALSE,FALSE,Regular,Gen 1,TRUE
76,Golem,Rock,Ground,495,80,120,130,55,65,45,1.4,300,153.1,FALSE,FALSE,Regular,Gen 1,TRUE
78,Galarian Rapidash,Psychic,Fairy,500,65,100,70,80,80,105,1.7,80,27.7,FALSE,FALSE,Regular,Gen 1,TRUE
78,Rapidash,Fire,NA,500,65,100,70,80,80,105,1.7,95,32.9,FALSE,FALSE,Regular,Gen 1,FALSE
80,Galarian Slowbro,Poison,Psychic,490,95,100,95,100,70,30,1.6,70.5,27.5,FALSE,FALSE,Regular,Gen 1,TRUE
80,Mega Slowbro,Water,Psychic,590,95,75,180,130,80,30,2,120,30,FALSE,FALSE,Regular,Gen 1,TRUE
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1.6,78.5,30.7,FALSE,FALSE,Regular,Gen 1,TRUE
83,Farfetch'd,Normal,Flying,377,52,90,55,58,62,60,0.8,15,23.4,FALSE,FALSE,Regular,Gen 1,TRUE
