name,type_1,type_2,role,offensive_rating,defensive_rating,tier
Mega Mewtwo Y,Psychic,NA,Offensive,82.01946402020143,59.87022046820693,SS
Mega Rayquaza,Dragon,Flying,Offensive,81.76469329360026,63.52405322880975,SS
Ultra Necrozma,Psychic,Dragon,Offensive,80.83111659542362,61.500914785933105,SS
Mega Mewtwo X,Psychic,Fighting,Offensive,80.06061674555377,60.53082197161664,SS
Shadow Rider Calyrex,Psychic,Ghost,Offensive,77.7173771083612,56.97193314639688,SS
Zacian Crowned Sword,Fairy,Steel,Balanced,76.94406456661528,68.6805317479385,SS
Mega Alakazam,Psychic,NA,Offensive,74.74985553284081,49.205106477747485,S
Eternatus,Poison,Dragon,Balanced,73.61152775373837,65.31603934932608,SS
Mega Diancie,Rock,Fairy,Offensive,73.17749028860312,54.61082499738284,S
Arceus,Normal,NA,Offensive,73.0934903248098,63.469131621616214,S
Primal Kyogre,Water,NA,Balanced,72.85299153591389,64.01047039436368,S
Primal Groudon,Ground,Fire,Balanced,72.85299153591389,64.82475610864938,S
Mewtwo,Psychic,NA,Offensive,71.77626500354539,55.42257852263079,S
Koraidon,Fighting,Dragon,Offensive,71.19759640638362,59.542265734395016,S
Miraidon,Electric,Dragon,Offensive,71.19759640638362,60.292265734395016,S
Palkia Origin Forme,Water,Dragon,Offensive,70.50808804907813,57.59826067330797,S
Zamazenta Crowned Shield,Fighting,Steel,Balanced,70.39893544321487,67.39149877082032,SS
Regigigas,Normal,NA,Offensive,70.12148835619635,59.90602129670832,S
White Kyurem,Dragon,Ice,Offensive,70.08596756843367,58.75816092411233,S
Black Kyurem,Dragon,Ice,Offensive,70.08596756843367,58.75816092411233,S
Mega Salamence,Dragon,Flying,Offensive,69.9216343292299,58.652048968518265,S
Mega Gengar,Ghost,Poison,Offensive,69.81994597058556,51.64974877571893,S
Ash-Greninja,Water,Dark,Offensive,69.73001097891064,50.61452324683695,S
Mega Garchomp,Dragon,Ground,Offensive,69.49211249337516,59.1852131513508,S
Mega Latios,Dragon,Psychic,Offensive,69.43407529996719,56.91673179623011,S
Mega Aerodactyl,Rock,Flying,Offensive,69.42147928494472,53.24855085080321,S
Rayquaza,Dragon,Flying,Offensive,69.38861483266427,57.30621459852864,S
Mega Metagross,Steel,Psychic,Balanced,69.33596094947785,64.739553004148,S
Zacian Hero of Many Battles,Fairy,NA,Offensive,69.20514349973318,58.93712350156922,S
Zamazenta Hero of Many Battles,Fighting,NA,Offensive,69.20514349973318,57.2228377872835,S
Slaking,Normal,NA,Offensive,69.16507816625852,58.94447081722299,S
